a_cluster_id,a_cluster_name,a_top_traits,a_top_places,b_cluster_id,b_sample_count,b_top_traits,b_summary,similarity_score,interpretation,caution
cluster_0,悠然滞在型家族層,relaxation | efficiency_touring | food_value,越前そばの里 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.8629,A側の「悠然滞在型家族層」は、B側のteacher_auto_cluster_12とrelaxation・food_valueが重なり、旅行傾向として近い対応関係にあります。,妥当
cluster_1,自然感受型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | かつやま恐竜の森 エリア | 越前大野城・城下町 エリア,teacher_auto_cluster_13,439,exploration_experience | nature | relaxation,絶品グルメと美しい景色を楽しみ、歴史や文化に触れながら、清潔な施設でゆったりと羽を伸ばす、心身ともに満たされるリラックス旅（60文字）,0.9395,A側の「自然感受型家族層」は、B側のteacher_auto_cluster_13とnature・exploration_experienceが重なり、旅行傾向として近い対応関係にあります。,妥当
cluster_2,文化探究型家族層,exploration_experience | food_value | relaxation,かつやま恐竜の森 エリア | 大本山 永平寺 エリア | あわら湯のまち エリア,teacher_auto_cluster_11,681,exploration_experience | planning | food_value,子連れ家族やリピーターが、名所や美食を楽しみ、施設の清潔さや接客の質を重視して快適に福井を満喫する、体験・交流型の旅行。,0.8835,A側の「文化探究型家族層」は、B側のteacher_auto_cluster_11とexploration_experience・food_valueが重なり、旅行傾向として近い対応関係にあります。,妥当
cluster_3,温泉癒し型家族層,relaxation | food_value | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.8704,A側の「温泉癒し型家族層」は、B側のteacher_auto_cluster_19とrelaxation・food_valueが重なり、旅行傾向として近い対応関係にあります。,やや汎用的
cluster_4,郷土美食探索型家族層,food_value | exploration_experience | relaxation,越前そばの里 エリア | かつやま恐竜の森 エリア | あわら湯のまち エリア,teacher_auto_cluster_8,276,food_value | planning | relaxation,地元の人の温かなもてなしと安くて美味しい食事に満足し、素朴な環境で楽しさを満喫する、コスパ重視のカジュアルな旅行スタイル。,0.8697,A側の「郷土美食探索型家族層」は、B側のteacher_auto_cluster_8とfood_value・relaxationが重なり、旅行傾向として近い対応関係にあります。,妥当
cluster_5,文化滞在型家族層,relaxation | exploration_experience | food_value,あわら湯のまち エリア | かつやま恐竜の森 エリア | 越前そばの里 エリア,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.9492,A側の「文化滞在型家族層」は、B側のteacher_auto_cluster_19とrelaxation・exploration_experienceが重なり、旅行傾向として近い対応関係にあります。,やや汎用的
cluster_6,リラックス重視型家族層,relaxation | efficiency_touring | nature,かつやま恐竜の森 エリア | 道の駅「恐竜渓谷かつやま」 エリア | あわら湯のまち エリア,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.8539,A側の「リラックス重視型家族層」は、B側のteacher_auto_cluster_19とrelaxationが重なり、旅行傾向として近い対応関係にあります。,やや汎用的
cluster_7,安定滞在型家族層,efficiency_touring | relaxation | exploration_experience,越前そばの里 エリア | 越前大野城・城下町 エリア | 道の駅「恐竜渓谷かつやま」 エリア,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.7533,A側の「安定滞在型家族層」は、B側のteacher_auto_cluster_19とrelaxation・exploration_experienceが重なり、旅行傾向として近い対応関係にあります。,やや汎用的
cluster_8,穏やか体験型家族層,relaxation | exploration_experience | efficiency_touring,越前そばの里 エリア | 越前大野城・城下町 エリア | 道の駅「南えちぜん山海里」 エリア,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.8883,A側の「穏やか体験型家族層」は、B側のteacher_auto_cluster_19とrelaxation・exploration_experienceが重なり、旅行傾向として近い対応関係にあります。,やや汎用的
cluster_9,自然優先型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | 越前大野城・城下町 エリア | かつやま恐竜の森 エリア,teacher_auto_cluster_13,439,exploration_experience | nature | relaxation,絶品グルメと美しい景色を楽しみ、歴史や文化に触れながら、清潔な施設でゆったりと羽を伸ばす、心身ともに満たされるリラックス旅（60文字）,0.9178,A側の「自然優先型家族層」は、B側のteacher_auto_cluster_13とnature・exploration_experienceが重なり、旅行傾向として近い対応関係にあります。,妥当
cluster_10,穏やか美食型家族層,food_value | relaxation | exploration_experience,大本山 永平寺 エリア | 越前大野城・城下町 エリア | かつやま恐竜の森 エリア,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.9611,A側の「穏やか美食型家族層」は、B側のteacher_auto_cluster_14とfood_value・relaxationが重なり、旅行傾向として近い対応関係にあります。,やや汎用的
