a_cluster_id,a_cluster_name,a_top_traits,a_top_places,match_rank,b_cluster_id,b_sample_count,b_top_traits,b_summary,similarity_score
cluster_0,悠然滞在型家族層,relaxation | efficiency_touring | food_value,越前そばの里 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,1,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.8629
cluster_0,悠然滞在型家族層,relaxation | efficiency_touring | food_value,越前そばの里 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,2,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.8578
cluster_0,悠然滞在型家族層,relaxation | efficiency_touring | food_value,越前そばの里 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,3,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.8578
cluster_1,自然感受型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | かつやま恐竜の森 エリア | 越前大野城・城下町 エリア,1,teacher_auto_cluster_13,439,exploration_experience | nature | relaxation,絶品グルメと美しい景色を楽しみ、歴史や文化に触れながら、清潔な施設でゆったりと羽を伸ばす、心身ともに満たされるリラックス旅（60文字）,0.9395
cluster_1,自然感受型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | かつやま恐竜の森 エリア | 越前大野城・城下町 エリア,2,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.8026
cluster_1,自然感受型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | かつやま恐竜の森 エリア | 越前大野城・城下町 エリア,3,teacher_auto_cluster_9,850,planning | exploration_experience | food_value,清潔な街並みや景色を愛で、博物館や駅前での買い物を家族や団体で気軽に楽しむ、利便性と快適さを重視した観光スタイル。（58文字）,0.7066
cluster_2,文化探究型家族層,exploration_experience | food_value | relaxation,かつやま恐竜の森 エリア | 大本山 永平寺 エリア | あわら湯のまち エリア,1,teacher_auto_cluster_11,681,exploration_experience | planning | food_value,子連れ家族やリピーターが、名所や美食を楽しみ、施設の清潔さや接客の質を重視して快適に福井を満喫する、体験・交流型の旅行。,0.8835
cluster_2,文化探究型家族層,exploration_experience | food_value | relaxation,かつやま恐竜の森 エリア | 大本山 永平寺 エリア | あわら湯のまち エリア,2,teacher_auto_cluster_13,439,exploration_experience | nature | relaxation,絶品グルメと美しい景色を楽しみ、歴史や文化に触れながら、清潔な施設でゆったりと羽を伸ばす、心身ともに満たされるリラックス旅（60文字）,0.816
cluster_2,文化探究型家族層,exploration_experience | food_value | relaxation,かつやま恐竜の森 エリア | 大本山 永平寺 エリア | あわら湯のまち エリア,3,teacher_auto_cluster_0,802,exploration_experience | food_value | efficiency_touring,恐竜や歴史、体験を目的とした家族連れやリピーター。新施設や道の駅を巡り、地元の食や人との交流を楽しむアクティブな旅。（59文字）,0.7846
cluster_3,温泉癒し型家族層,relaxation | food_value | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.8704
cluster_3,温泉癒し型家族層,relaxation | food_value | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,2,teacher_auto_cluster_10,280,relaxation | food_value | planning,施設の清潔感や展示の質を重視し、家族や個人で地元の食や温泉を楽しみながら、静かな環境で快適に過ごす堅実な旅行スタイル。（59文字）,0.8412
